bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
547,-16,-29,-16,-29,45,45,0,0
548,-15,-29,-15,-29,44,44,0,0
549,-14,-29,-14,-29,43,43,0,0
550,-13,-30,-13,-30,43,43,0,0
551,-12,-30,-12,-30,42,42,0,0
552,-11,-31,-11,-31,42,42,0,0
553,-10,-31,-10,-31,41,41,0,0
554,-9,-31,-9,-31,40,40,0,0
555,-8,-31,-8,-31,39,39,0,0
556,-8,-32,-8,-32,40,40,0,0
557,-7,-32,-7,-32,39,39,0,0
558,-6,-32,-6,-32,38,38,0,0
559,-5,-32,-5,-32,37,37,0,0
560,-4,-32,-4,-32,36,36,0,0
561,-3,-32,-3,-32,35,35,0,0
562,-2,-32,-2,-32,34,34,0,0
563,-1,-32,-1,-32,33,33,0,0
564,0,-32,0,-32,32,32,0,0
565,1,-32,1,-32,33,33,0,0
566,2,-32,2,-32,34,34,0,0
567,3,-32,3,-32,35,35,0,0
568,4,-32,4,-32,36,36,0,0
569,5,-32,5,-32,37,37,0,0
570,6,-32,6,-32,38,38,0,0
571,7,-32,7,-32,39,39,0,0
572,8,-31,8,-31,39,39,0,0
573,9,-31,9,-31,40,40,0,0
574,10,-31,10,-31,41,41,0,0
575,11,-30,11,-30,41,41,0,0
576,12,-30,12,-30,42,42,0,0
577,13,-30,13,-30,43,43,0,0
578,14,-29,14,-29,43,43,0,0
579,14,-29,14,-29,43,43,0,0
580,15,-28,15,-28,43,43,0,0
581,16,-28,16,-28,44,44,0,0
582,17,-27,17,-27,44,44,0,0
583,18,-27,18,-27,45,45,0,0
584,19,-26,19,-26,45,45,0,0
585,19,-26,19,-26,45,45,0,0
586,20,-25,20,-25,45,45,0,0
587,21,-24,21,-24,45,45,0,0
588,22,-24,22,-24,46,46,0,0
589,22,-23,22,-23,45,45,0,0
590,23,-22,23,-22,45,45,0,0
591,24,-22,24,-22,46,46,0,0
592,24,-21,24,-21,45,45,0,0
593,25,-20,25,-20,45,45,0,0
594,25,-19,25,-19,44,44,0,0
595,26,-18,26,-18,44,44,0,0
596,27,-18,27,-18,45,45,0,0
597,27,-17,27,-17,44,44,0,0
598,28,-16,28,-16,44,44,0,0
599,28,-15,28,-15,43,43,0,0
600,28,-14,28,-14,42,42,0,0
601,29,-13,29,-13,42,42,0,0
602,29,-12,29,-12,41,41,0,0
603,30,-11,30,-11,41,41,0,0
604,30,-11,30,-11,41,41,0,0
605,30,-10,30,-10,40,40,0,0
606,30,-9,30,-9,39,39,0,0
607,31,-8,31,-8,39,39,0,0
608,31,-7,31,-7,38,38,0,0
609,31,-6,31,-6,37,37,0,0
610,31,-5,31,-5,36,36,0,0
611,31,-4,31,-4,35,35,0,0
612,31,-3,31,-3,34,34,0,0
613,31,-2,31,-2,33,33,0,0
614,31,-1,31,-1,32,32,0,0
615,31,0,31,0,31,31,0,0
616,31,1,31,1,32,32,0,0
617,31,2,31,2,33,33,0,0
618,31,3,31,3,34,34,0,0
619,31,4,31,4,35,35,0,0
620,31,5,31,5,36,36,0,0
621,31,6,31,6,37,37,0,0
622,31,7,31,7,38,38,0,0
623,30,8,30,8,38,38,0,0
624,30,9,30,9,39,39,0,0
625,30,10,30,10,40,40,0,0
626,29,11,29,11,40,40,0,0
627,29,12,29,12,41,41,0,0
628,29,12,29,12,41,41,0,0
629,28,13,28,13,41,41,0,0
630,28,14,28,14,42,42,0,0
631,27,15,27,15,42,42,0,0
632,27,16,27,16,43,43,0,0
633,26,17,26,17,43,43,0,0
634,26,18,26,18,44,44,0,0
635,25,18,25,18,43,43,0,0
636,25,19,25,19,44,44,0,0
637,24,20,24,20,44,44,0,0
638,23,21,23,21,44,44,0,0
639,23,21,23,21,44,44,0,0
640,22,22,22,22,44,44,0,0
641,21,23,21,23,44,44,0,0
642,21,23,21,23,44,44,0,0
643,20,24,20,24,44,44,0,0
644,19,25,19,25,44,44,0,0
645,18,25,18,25,43,43,0,0
646,18,26,18,26,44,44,0,0
647,17,26,17,26,43,43,0,0
648,16,27,16,27,43,43,0,0
649,15,27,15,27,42,42,0,0
650,14,28,14,28,42,42,0,0
651,13,28,13,28,41,41,0,0
652,12,29,12,29,41,41,0,0
653,12,29,12,29,41,41,0,0
654,11,29,11,29,40,40,0,0
655,10,30,10,30,40,40,0,0
656,9,30,9,30,39,39,0,0
657,8,30,8,30,38,38,0,0
658,7,31,7,31,38,38,0,0
659,6,31,6,31,37,37,0,0
660,5,31,5,31,36,36,0,0
661,4,31,4,31,35,35,0,0
662,3,31,3,31,34,34,0,0
663,2,31,2,31,33,33,0,0
664,1,31,1,31,32,32,0,0
665,0,31,0,31,31,31,0,0
666,-1,32,-1,32,33,33,0,0
667,-2,31,-2,31,33,33,0,0
668,-3,31,-3,31,34,34,0,0
669,-4,31,-4,31,35,35,0,0
670,-5,31,-5,31,36,36,0,0
671,-6,31,-6,31,37,37,0,0
672,-7,31,-7,31,38,38,0,0
673,-8,31,-8,31,39,39,0,0
674,-9,30,-9,30,39,39,0,0
675,-10,30,-10,30,40,40,0,0
676,-11,30,-11,30,41,41,0,0
677,-11,30,-11,30,41,41,0,0
678,-12,29,-12,29,41,41,0,0
679,-13,29,-13,29,42,42,0,0
680,-14,28,-14,28,42,42,0,0
681,-15,28,-15,28,43,43,0,0
682,-16,28,-16,28,44,44,0,0
683,-17,27,-17,27,44,44,0,0
684,-18,27,-18,27,45,45,0,0
685,-18,26,-18,26,44,44,0,0
686,-19,25,-19,25,44,44,0,0
687,-20,25,-20,25,45,45,0,0
688,-21,24,-21,24,45,45,0,0
689,-22,24,-22,24,46,46,0,0
690,-22,23,-22,23,45,45,0,0
691,-23,22,-23,22,45,45,0,0
692,-24,22,-24,22,46,46,0,0
693,-24,21,-24,21,45,45,0,0
694,-25,20,-25,20,45,45,0,0
695,-26,19,-26,19,45,45,0,0
696,-26,19,-26,19,45,45,0,0
697,-27,18,-27,18,45,45,0,0
698,-27,17,-27,17,44,44,0,0
699,-28,16,-28,16,44,44,0,0
