segment,bin,golden_i,golden_q
0,936,-3,-39
0,937,0,-39
0,938,2,-39
0,939,5,-39
0,940,7,-38
0,941,10,-38
0,942,12,-37
0,943,14,-36
0,944,16,-35
0,945,19,-34
0,946,21,-32
0,947,23,-31
0,948,25,-30
0,949,27,-28
0,950,28,-26
0,951,30,-24
0,952,31,-23
0,953,33,-21
0,954,34,-18
0,955,35,-16
0,956,36,-14
0,957,37,-12
0,958,38,-9
0,959,38,-7
0,960,39,-5
0,961,39,-2
0,962,39,0
0,963,39,3
0,964,39,5
0,965,39,8
0,966,38,10
0,967,37,12
0,968,37,15
0,969,36,17
0,970,34,19
0,971,33,21
0,972,32,23
0,973,30,25
0,974,29,27
0,975,27,29
0,976,25,31
0,977,24,32
0,978,22,34
0,979,20,35
0,980,18,36
0,981,15,38
0,982,13,38
0,983,11,39
0,984,9,40
0,985,6,40
0,986,4,41
0,987,1,41
0,988,-1,41
0,989,-3,41
0,990,-6,41
0,991,-8,40
0,992,-11,40
0,993,-13,39
0,994,-15,38
0,995,-18,37
0,996,-20,36
0,997,-22,34
0,998,-24,33
0,999,-26,31
0,1000,-27,30
0,1001,-29,28
0,1002,-31,26
0,1003,-32,25
0,1004,-34,22
0,1005,-35,20
0,1006,-36,18
0,1007,-37,16
0,1008,-38,14
0,1009,-38,11
0,1010,-39,9
0,1011,-39,7
0,1012,-39,4
0,1013,-40,2
0,1014,-39,-1
0,1015,-39,-3
0,1016,-39,-6
0,1017,-38,-8
0,1018,-37,-10
0,1019,-37,-13
0,1020,-35,-15
0,1021,-34,-17
0,1022,-33,-19
0,1023,-32,-21
1,0,5,-5
1,1,5,-5
1,2,6,-4
1,3,6,-3
1,4,6,-2
1,5,7,-1
1,6,7,0
1,7,7,1
1,8,7,2
1,9,6,3
1,10,6,4
1,11,5,4
1,12,5,5
1,13,4,6
1,14,4,6
1,15,3,7
1,16,2,7
1,17,1,8
1,18,0,8
1,19,-1,8
1,20,-2,8
1,21,-3,8
1,22,-3,7
1,23,-4,7
1,24,-5,7
1,25,-6,6
1,26,-6,5
1,27,-7,4
1,28,-8,4
1,29,-8,3
1,30,-8,2
1,31,-8,1
1,32,-8,0
1,33,-8,-1
1,34,-8,-2
1,35,-8,-3
1,36,-7,-4
1,37,-7,-4
1,38,-6,-5
1,39,-5,-6
1,40,-5,-6
1,41,-4,-7
1,42,-3,-7
1,43,-2,-7
1,44,-1,-8
1,45,0,-8
1,46,1,-8
1,47,2,-7
1,48,3,-7
1,49,3,-6
1,50,4,-6
1,51,5,-5
1,52,5,-5
1,53,6,-4
1,54,6,-3
1,55,7,-2
1,56,7,-1
1,57,7,0
1,58,7,1
1,59,7,2
1,60,7,3
1,61,6,3
1,62,6,4
1,63,5,5
1,64,5,6
1,65,4,6
1,66,3,7
1,67,2,7
1,68,1,8
1,69,0,8
1,70,0,8
1,71,-1,8
1,72,-2,8
1,73,-3,8
1,74,-4,7
1,75,-5,7
1,76,-6,6
1,77,-6,5
1,78,-7,5
1,79,-8,4
1,80,-8,3
1,81,-8,2
1,82,-8,1
1,83,-8,0
1,84,-8,-1
1,85,-8,-2
1,86,-8,-3
1,87,-8,-3
1,88,-7,-4
1,89,-6,-5
1,90,-6,-6
1,91,-5,-6
1,92,-4,-7
1,93,-3,-7
1,94,-2,-8
1,95,-1,-8
1,96,0,-8
1,97,0,-8
1,98,1,-8
1,99,2,-7
1,100,3,-7
1,101,4,-6
1,102,5,-6
1,103,5,-5
1,104,6,-4
1,105,6,-4
1,106,7,-3
1,107,7,-2
1,108,7,-1
1,109,7,0
1,110,7,1
1,111,7,2
1,112,7,3
1,113,6,4
1,114,6,4
1,115,5,5
1,116,5,6
1,117,4,6
1,118,3,7
1,119,2,7
1,120,1,7
1,121,1,7
1,122,0,7
1,123,-1,7
1,124,-2,7
1,125,-3,7
1,126,-4,6
1,127,-4,6
1,128,-5,5
1,129,-6,4
1,130,-6,4
1,131,-7,3
1,132,-8,2
1,133,-8,1
1,134,-8,0
1,135,-8,-1
1,136,-8,-2
1,137,-8,-3
1,138,-8,-4
1,139,-7,-5
1,140,-7,-6
1,141,-6,-7
1,142,-6,-7
1,143,-5,-8
1,144,-4,-8
1,145,-3,-9
1,146,-2,-9
1,147,-1,-9
1,148,0,-9
1,149,1,-9
1,150,2,-9
1,151,2,-8
1,152,3,-8
1,153,4,-7
1,154,5,-7
1,155,5,-6
1,156,6,-5
1,157,6,-4
1,158,7,-3
1,159,7,-2
1,160,7,-1
1,161,7,0
1,162,7,0
1,163,7,1
1,164,6,2
1,165,6,3
1,166,5,4
1,167,4,5
1,168,4,5
1,169,3,6
1,170,2,6
1,171,1,6
1,172,0,6
1,173,-1,6
1,174,-2,6
1,175,-3,6
1,176,-4,6
1,177,-5,5
1,178,-6,5
1,179,-7,4
1,180,-7,3
1,181,-8,3
1,182,-8,2
1,183,-9,1
1,184,-9,0
1,185,-9,-1
1,186,-9,-2
1,187,-9,-3
1,188,-9,-4
1,189,-9,-5
1,190,-8,-6
1,191,-8,-6
1,192,-7,-7
1,193,-6,-8
1,194,-5,-8
1,195,-4,-9
1,196,-4,-9
1,197,-3,-9
1,198,-2,-9
1,199,-1,-9
1,200,0,-9
1,201,1,-9
1,202,2,-9
1,203,3,-8
1,204,4,-8
1,205,5,-7
1,206,6,-6
1,207,6,-5
1,208,7,-5
1,209,7,-4
1,210,7,-3
1,211,7,-2
1,212,7,-1
1,213,7,0
1,214,7,1
1,215,7,2
1,216,6,3
1,217,5,4
1,218,5,4
1,219,4,5
1,220,3,5
1,221,2,6
1,222,1,6
1,223,0,6
1,224,-1,6
1,225,-2,6
1,226,-2,6
1,227,-3,6
1,228,-4,5
1,229,-5,5
1,230,-6,4
1,231,-7,4
1,232,-7,3
1,233,-8,2
1,234,-8,1
1,235,-8,0
1,236,-9,-1
1,237,-9,-2
1,238,-9,-3
1,239,-8,-4
1,240,-8,-4
1,241,-8,-5
1,242,-7,-6
1,243,-6,-7
1,244,-6,-7
1,245,-5,-8
1,246,-4,-8
1,247,-3,-9
1,248,-2,-9
1,249,-1,-9
1,250,0,-9
1,251,1,-9
1,252,2,-9
1,253,3,-9
1,254,4,-8
1,255,4,-8
1,256,5,-7
1,257,6,-6
1,258,6,-5
1,259,7,-4
1,260,7,-3
1,261,8,-2
1,262,8,-1
1,263,8,0
1,264,8,1
1,265,7,1
1,266,7,2
1,267,7,3
1,268,6,4
1,269,5,5
1,270,5,6
1,271,4,6
1,272,3,7
1,273,2,7
1,274,1,7
1,275,0,7
1,276,-1,7
1,277,-2,7
1,278,-3,7
1,279,-4,7
1,280,-5,6
1,281,-6,6
1,282,-7,5
1,283,-7,4
1,284,-8,3
1,285,-8,2
1,286,-9,1
1,287,-9,1
1,288,-9,0
1,289,-9,-1
1,290,-9,-2
1,291,-8,-3
1,292,-8,-4
1,293,-8,-5
1,294,-7,-6
1,295,-6,-7
1,296,-6,-7
1,297,-5,-8
1,298,-4,-8
1,299,-3,-8
1,300,-2,-9
1,301,-1,-9
1,302,0,-9
1,303,1,-8
1,304,2,-8
1,305,3,-8
1,306,4,-7
1,307,4,-6
1,308,5,-6
1,309,6,-5
1,310,6,-4
1,311,7,-3
1,312,7,-2
1,313,7,-1
1,314,7,0
1,315,7,1
1,316,7,2
1,317,6,3
1,318,6,4
1,319,5,4
1,320,5,5
1,321,4,6
1,322,3,6
1,323,2,7
1,324,1,7
1,325,0,7
1,326,-1,7
1,327,-2,7
1,328,-3,7
1,329,-4,7
1,330,-5,7
1,331,-5,6
1,332,-6,6
1,333,-7,5
1,334,-8,4
1,335,-8,3
1,336,-9,2
1,337,-9,1
1,338,-9,1
1,339,-9,0
1,340,-9,-1
1,341,-9,-2
1,342,-9,-3
1,343,-9,-4
1,344,-8,-5
1,345,-8,-6
1,346,-7,-7
1,347,-6,-7
1,348,-5,-8
1,349,-4,-8
1,350,-3,-9
1,351,-2,-9
1,352,-1,-9
1,353,0,-9
1,354,1,-9
1,355,2,-9
1,356,2,-8
1,357,3,-8
1,358,4,-7
1,359,5,-6
1,360,5,-6
1,361,6,-5
1,362,6,-4
1,363,7,-3
1,364,7,-2
1,365,7,-1
1,366,7,0
1,367,7,1
1,368,7,2
1,369,6,3
1,370,6,4
1,371,5,4
1,372,4,5
1,373,4,6
1,374,3,6
1,375,2,7
1,376,1,7
1,377,0,7
1,378,-1,7
1,379,-2,7
1,380,-3,7
1,381,-4,6
1,382,-5,6
1,383,-6,5
1,384,-6,5
1,385,-7,4
1,386,-8,3
1,387,-8,2
1,388,-9,1
1,389,-9,0
1,390,-9,-1
1,391,-9,-2
1,392,-9,-3
1,393,-9,-3
1,394,-8,-4
1,395,-8,-5
1,396,-7,-6
1,397,-7,-7
1,398,-6,-7
1,399,-5,-8
1,400,-4,-9
1,401,-3,-9
1,402,-2,-9
1,403,-1,-9
1,404,0,-9
1,405,1,-9
1,406,2,-9
1,407,2,-8
1,408,3,-8
1,409,4,-7
1,410,5,-7
1,411,6,-6
1,412,6,-5
1,413,7,-4
1,414,7,-3
1,415,7,-2
1,416,7,-1
1,417,7,0
1,418,7,1
1,419,7,2
1,420,6,2
1,421,6,3
1,422,5,4
1,423,5,5
1,424,4,5
1,425,3,6
1,426,2,6
1,427,1,7
1,428,0,7
1,429,-1,7
1,430,-2,7
1,431,-3,7
1,432,-4,6
1,433,-5,6
1,434,-6,6
1,435,-6,5
1,436,-7,4
1,437,-8,3
1,438,-8,3
1,439,-9,2
1,440,-9,1
1,441,-9,0
1,442,-9,-1
1,443,-9,-2
1,444,-9,-3
1,445,-9,-4
1,446,-8,-5
1,447,-8,-6
1,448,-7,-7
1,449,-6,-7
1,450,-6,-8
1,451,-5,-8
1,452,-4,-9
1,453,-3,-9
1,454,-2,-9
1,455,-1,-9
1,456,0,-9
1,457,1,-9
1,458,2,-9
1,459,3,-8
1,460,4,-8
1,461,5,-7
1,462,5,-6
1,463,6,-5
1,464,6,-4
1,465,7,-3
1,466,7,-2
1,467,7,-1
1,468,7,0
1,469,7,0
1,470,7,1
1,471,6,2
1,472,6,3
1,473,5,4
1,474,5,5
1,475,4,5
1,476,3,6
1,477,2,6
1,478,1,7
1,479,0,7
1,480,-1,7
1,481,-2,7
1,482,-3,7
1,483,-4,7
1,484,-5,6
1,485,-6,6
1,486,-7,5
1,487,-7,4
1,488,-8,4
1,489,-8,3
1,490,-9,2
1,491,-9,1
1,492,-9,0
1,493,-10,-1
1,494,-9,-2
1,495,-9,-3
1,496,-9,-4
1,497,-9,-5
1,498,-8,-6
1,499,-7,-6
1,500,-7,-7
1,501,-6,-8
1,502,-5,-8
1,503,-4,-9
1,504,-3,-9
1,505,-2,-9
1,506,-1,-9
1,507,0,-9
1,508,1,-9
1,509,2,-9
1,510,3,-8
1,511,4,-7
1,512,5,-7
1,513,5,-6
1,514,6,-5
1,515,6,-4
1,516,7,-4
1,517,7,-3
1,518,7,-2
1,519,7,-1
1,520,7,0
1,521,7,1
1,522,7,2
