cycle,range_bin,doppler_bin,output_hex
1052285000,4,5,fe7cffd3
1052295000,4,6,0039000a
1052305000,4,7,02ccfed9
1052315000,4,8,f9eb01a6
1052325000,4,9,061800f3
1052335000,4,10,fd90fe8d
1052345000,4,11,00fa013e
1052355000,4,12,fedcfd16
1052365000,4,13,015401e7
1052375000,4,14,fee700b2
1052385000,4,15,0086fee1
1054265000,4,16,0016ffea
1054275000,4,17,0041ffa2
1054285000,4,18,000b0138
1054295000,4,19,ff6aff83
1054305000,4,20,001fff0e
1054315000,4,21,feb400ab
1054325000,4,22,02910079
1054335000,4,23,fe2b01c7
1054345000,4,24,fd2afd74
1054355000,4,25,06d7ff6e
1054365000,4,26,fb1d0056
1054375000,4,27,04a2003b
1054385000,4,28,f9bd02cc
1054395000,4,29,03c4fe85
1054405000,4,30,fef3ffa1
1054415000,4,31,ffb1005b
1056295000,5,0,ffbd003f
1056305000,5,1,0098007e
1056315000,5,2,fed5fe93
1056325000,5,3,00f30177
1056335000,5,4,0051febd
1056345000,5,5,fe7d0440
1056355000,5,6,019bfb1a
1056365000,5,7,014cff8a
1056375000,5,8,fd6b039f
1056385000,5,9,0104fdc4
1056395000,5,10,ff77ffa3
1056405000,5,11,0059012b
1056415000,5,12,ffa3ff59
1056425000,5,13,0073002a
1056435000,5,14,ffcd0094
1056445000,5,15,000cff50
1058325000,5,16,00a20046
1058335000,5,17,006fff8c
1058345000,5,18,fd68015d
1058355000,5,19,02c6fcac
1058365000,5,20,fffb02b4
1058375000,5,21,ff45fea6
1058385000,5,22,ff1200ce
1058395000,5,23,02840190
1058405000,5,24,fdbcfc60
1058415000,5,25,02e10144
1058425000,5,26,0016fff3
1058435000,5,27,fd92012a
1058445000,5,28,00af000e
1058455000,5,29,ff4ffebe
1058465000,5,30,02100082
1058475000,5,31,fe78ffbe
1060355000,6,0,0082ff86
1060365000,6,1,ff1800e6
1060375000,6,2,0081fef2
1060385000,6,3,015c009b
1060395000,6,4,fe04feb0
1060405000,6,5,009a013d
1060415000,6,6,010efe57
1060425000,6,7,fc9002f3
1060435000,6,8,030aff5e
1060445000,6,9,ffb8fc76
1060455000,6,10,fef904e4
1060465000,6,11,0254fd7b
1060475000,6,12,fcf800d0
1060485000,6,13,019efe6f
1060495000,6,14,00080137
1060505000,6,15,ffa00027
1062385000,6,16,00780011
1062395000,6,17,ff34004c
1062405000,6,18,fffaff6d
1062415000,6,19,00c70042
1062425000,6,20,fe0dfea3
1062435000,6,21,027d02f2
1062445000,6,22,fc5cfe46
1062455000,6,23,057b013c
1062465000,6,24,f8b2fc3f
1062475000,6,25,0562022c
1062485000,6,26,002cfeeb
1062495000,6,27,fe690180
1062505000,6,28,ffd5fe91
1062515000,6,29,008901b2
1062525000,6,30,ffcaff4e
1062535000,6,31,ff91ffc6
1064415000,7,0,ff65ffee
1064425000,7,1,00aa005c
1064435000,7,2,ffd7003b
1064445000,7,3,fffbffa2
1064455000,7,4,fe6cffd3
1064465000,7,5,031f022a
1064475000,7,6,feccfb03
1064485000,7,7,00dd0534
1064495000,7,8,fcd3fe16
1064505000,7,9,01c8fd94
1064515000,7,10,01f902e7
1064525000,7,11,feb5fff0
1064535000,7,12,fdd4fde9
1064545000,7,13,02030176
1064555000,7,14,ff8c004b
1064565000,7,15,003fff7a
1066445000,7,16,00480050
1066455000,7,17,0009ff92
1066465000,7,18,fe4c01c7
1066475000,7,19,0141fc4b
1066485000,7,20,00a20287
1066495000,7,21,ff50fe69
1066505000,7,22,0034009d
1066515000,7,23,03840148
1066525000,7,24,fc3aff7e
1066535000,7,25,007b0044
1066545000,7,26,fed2fda3
1066555000,7,27,02d1ffa5
1066565000,7,28,ff00039f
1066575000,7,29,0050fd79
1066585000,7,30,ff220035
1066595000,7,31,00aeffb0
1068475000,8,0,ffb70007
1068485000,8,1,0039007c
1068495000,8,2,000c00ac
1068505000,8,3,fed5fd66
1068515000,8,4,01630101
1068525000,8,5,004b045d
1068535000,8,6,fddffb1d
1068545000,8,7,013bfff2
1068555000,8,8,00670371
1068565000,8,9,019ffd88
1068575000,8,10,fd5c0286
1068585000,8,11,0261fc42
1068595000,8,12,fd5b0043
1068605000,8,13,02b9021b
1068615000,8,14,fd8dff35
1068625000,8,15,0103ffaa
1070505000,8,16,0021ffc0
1070515000,8,17,0088000a
1070525000,8,18,fedb011e
1070535000,8,19,ffccfe84
1070545000,8,20,01a00014
1070555000,8,21,feccfc60
1070565000,8,22,01cc0642
1070575000,8,23,fd17fdb6
1070585000,8,24,0179fd86
1070595000,8,25,03b20270
1070605000,8,26,fc39fdda
1070615000,8,27,03140372
1070625000,8,28,fc5efcbe
1070635000,8,29,017202fa
1070645000,8,30,fff8fdf6
1070655000,8,31,fff10068
1072535000,9,0,ff89003d
1072545000,9,1,00460071
1072555000,9,2,0076ffc4
1072565000,9,3,ff900112
1072575000,9,4,ff17fdeb
1072585000,9,5,016f0256
1072595000,9,6,010bfd4a
1072605000,9,7,ffd50316
1072615000,9,8,fc91fdf7
1072625000,9,9,02e4ffc9
1072635000,9,10,01aefebe
1072645000,9,11,fca002ba
1072655000,9,12,004ffe59
1072665000,9,13,00570004
1072675000,9,14,00410154
1072685000,9,15,001bfef2
1074565000,9,16,004bffd7
1074575000,9,17,ff730074
1074585000,9,18,ffcdfeb5
1074595000,9,19,01fe0249
1074605000,9,20,fd93fdfa
1074615000,9,21,00b7fe2f
1074625000,9,22,0036028e
1074635000,9,23,032fff58
1074645000,9,24,fbf10153
1074655000,9,25,01fdfeba
1074665000,9,26,fe79fe5b
1074675000,9,27,03e8039b
1074685000,9,28,fb99fcb8
1074695000,9,29,0171022f
1074705000,9,30,ff8cfece
1074715000,9,31,00530000
1076595000,10,0,0036004a
1076605000,10,1,fee4ffae
1076615000,10,2,01d300ba
1076625000,10,3,ffc9ffc9
1076635000,10,4,fe13fee6
1076645000,10,5,02e90074
1076655000,10,6,fcdb01e8
1076665000,10,7,00f9fde3
1076675000,10,8,00e60036
1076685000,10,9,01de0198
1076695000,10,10,fbe9fed8
1076705000,10,11,02afffd1
1076715000,10,12,ff5dffa6
1076725000,10,13,004dffd2
1076735000,10,14,ff2d014a
1076745000,10,15,0047ff27
1078625000,10,16,002effb9
1078635000,10,17,0012006b
1078645000,10,18,fdcfffcc
1078655000,10,19,035bfe87
1078665000,10,20,fe2b007f
1078675000,10,21,0139fe13
1078685000,10,22,00c50461
1078695000,10,23,feabfed4
1078705000,10,24,fe3aff77
1078715000,10,25,046afe17
1078725000,10,26,fc47020c
1078735000,10,27,02b5fe7b
1078745000,10,28,fc7d0085
1078755000,10,29,03b3ffe7
1078765000,10,30,fe350023
1078775000,10,31,004dfffe
1080655000,11,0,ffcc0042
1080665000,11,1,0019006f
1080675000,11,2,00eaff0f
1080685000,11,3,fe1f010a
1080695000,11,4,0030febc
1080705000,11,5,01aefffd
1080715000,11,6,ff16027c
1080725000,11,7,ff96fdaf
1080735000,11,8,ff780078
1080745000,11,9,032d01ad
1080755000,11,10,fc48fcef
1080765000,11,11,02cf0088
1080775000,11,12,febc02ba
1080785000,11,13,feb8fd1b
1080795000,11,14,01a8016e
1080805000,11,15,ffb0ff73
1082685000,11,16,ffe2ff96
1082695000,11,17,00d7ffb3
1082705000,11,18,fe2d00f1
1082715000,11,19,00e5ff2e
1082725000,11,20,fec4ff23
1082735000,11,21,02690026
1082745000,11,22,00aa0079
1082755000,11,23,fddf016f
1082765000,11,24,ff1afe12
1082775000,11,25,039fff2f
1082785000,11,26,fc8f0283
1082795000,11,27,02ddfe72
1082805000,11,28,fe440201
1082815000,11,29,0005fdbc
1082825000,11,30,ffa6005f
1082835000,11,31,002b0075
1084715000,12,0,ffa5ffca
1084725000,12,1,00830144
1084735000,12,2,ffc1fdb2
1084745000,12,3,ffbb02b0
1084755000,12,4,fff2fd05
1084765000,12,5,ff5f036f
1084775000,12,6,032afd5a
1084785000,12,7,fd540072
1084795000,12,8,fe6701c4
1084805000,12,9,0347ffbc
1084815000,12,10,ffcdfd3a
1084825000,12,11,004d015c
1084835000,12,12,fdf6015d
1084845000,12,13,fff3fda1
1084855000,12,14,012c015a
1084865000,12,15,ffb0ffe2
1086745000,12,16,00a8ff77
1086755000,12,17,00240110
1086765000,12,18,fe8efff4
1086775000,12,19,00a1fece
1086785000,12,20,0169005a
1086795000,12,21,fc73fddc
1086805000,12,22,053c02e0
1086815000,12,23,fcc9fe6b
1086825000,12,24,feda0131
1086835000,12,25,0490fda4
1086845000,12,26,fcf60178
1086855000,12,27,01bbfed4
1086865000,12,28,fe0901da
1086875000,12,29,01a1fdfc
1086885000,12,30,ff7c0198
1086895000,12,31,ff53ff27
1088775000,13,0,ffccffcd
1088785000,13,1,00ed0068
1088795000,13,2,fe73ff6e
1088805000,13,3,01130031
1088815000,13,4,feb2fe08
1088825000,13,5,0075056c
1088835000,13,6,018ef9b3
1088845000,13,7,fe2e03c4
1088855000,13,8,00b60125
1088865000,13,9,ff0dfc72
1088875000,13,10,01d10050
1088885000,13,11,001902b9
1088895000,13,12,fd28fe6a
1088905000,13,13,01d5002e
1088915000,13,14,0072000b
1088925000,13,15,ffc2fffe
1090805000,13,16,00beffee
1090815000,13,17,fefa0049
1090825000,13,18,005cffde
1090835000,13,19,00d5ff4a
1090845000,13,20,fe59006d
1090855000,13,21,024c00d1
1090865000,13,22,fed2017e
1090875000,13,23,0018ffd5
1090885000,13,24,fde2ff56
1090895000,13,25,fffafd19
1090905000,13,26,03580252
1090915000,13,27,fb8dff48
1090925000,13,28,039b00f7
1090935000,13,29,fe78ff55
1090945000,13,30,00e60082
1090955000,13,31,feee0029
1092835000,14,0,ff7d0027
1092845000,14,1,010fffea
1092855000,14,2,ffa400f7
1092865000,14,3,fe85fee8
1092875000,14,4,021cffae
1092885000,14,5,fea8016a
1092895000,14,6,00e6fef6
1092905000,14,7,fe98ff05
1092915000,14,8,0165039f
1092925000,14,9,fec7fdfe
1092935000,14,10,01defe67
1092945000,14,11,ff650238
1092955000,14,12,0076fe14
1092965000,14,13,fdae0142
1092975000,14,14,01ecffa4
1092985000,14,15,ff8affc7
1094865000,14,16,0047ffd2
1094875000,14,17,0089003a
1094885000,14,18,fda50108
1094895000,14,19,02ebfcb5
1094905000,14,20,fec601a2
1094915000,14,21,00c400ab
1094925000,14,22,ff1cff9e
1094935000,14,23,022c01dc
1094945000,14,24,fac1fc2c
1094955000,14,25,04250286
1094965000,14,26,ff6dfdf4
1094975000,14,27,0015fffb
1094985000,14,28,002e005c
1094995000,14,29,ffc6ff15
1095005000,14,30,00de01e2
1095015000,14,31,ff44feec
1096895000,15,0,00120019
1096905000,15,1,0022ff0b
1096915000,15,2,004701f6
1096925000,15,3,00cfffb0
1096935000,15,4,fcf1fdbf
1096945000,15,5,02f800be
1096955000,15,6,ffb501a5
1096965000,15,7,fce8ffb1
1096975000,15,8,03e400dd
1096985000,15,9,fef8fdb1
1096995000,15,10,000f0000
1097005000,15,11,ffbb022e
1097015000,15,12,ff99fdb3
1097025000,15,13,003e0146
1097035000,15,14,0065ff75
1097045000,15,15,ff4e0039
1098925000,15,16,007fffdd
1098935000,15,17,ff23000f
1098945000,15,18,00a7fffa
1098955000,15,19,ff4fff4f
1098965000,15,20,016bff4b
1098975000,15,21,01ce0213
1098985000,15,22,f9ab01e7
1098995000,15,23,0532fd47
1099005000,15,24,fd7b001b
1099015000,15,25,00dfff37
1099025000,15,26,ff49ff98
1099035000,15,27,013f0101
1099045000,15,28,fe9fffc9
1099055000,15,29,00f00087
1099065000,15,30,ffd1ff33
1099075000,15,31,ffd00041
1100955000,16,0,0017002b
1100965000,16,1,ffb20001
1100975000,16,2,00160008
1100985000,16,3,ffc5fefa
1100995000,16,4,ffd900dd
1101005000,16,5,fe9b0276
1101015000,16,6,02c6fc2a
1101025000,16,7,005802e0
1101035000,16,8,fbbfffaf
1101045000,16,9,03a6fceb
1101055000,16,10,ffec04e2
1101065000,16,11,00ebfe32
1101075000,16,12,fc75fd51
1101085000,16,13,03bd021a
1101095000,16,14,fe14ffec
1101105000,16,15,0048ff70
1102985000,16,16,003e002a
1102995000,16,17,0072004f
1103005000,16,18,fdf20013
1103015000,16,19,01f4ff78
1103025000,16,20,ff98ffb3
1103035000,16,21,fe16fede
1103045000,16,22,0471018a
1103055000,16,23,fd5701a8
1103065000,16,24,ff48fc3c
1103075000,16,25,04b20227
1103085000,16,26,fcf4ff6d
1103095000,16,27,026600f6
1103105000,16,28,fb6a000f
1103115000,16,29,04260020
1103125000,16,30,fe21ffe6
1103135000,16,31,006fffae
1105015000,17,0,ffae0061
1105025000,17,1,0058ffd9
1105035000,17,2,0054fff0
1105045000,17,3,fe930079
1105055000,17,4,012fff0f
1105065000,17,5,fe4bffcc
1105075000,17,6,018500c9
1105085000,17,7,015300cd
1105095000,17,8,fa94006f
1105105000,17,9,0504fe0f
1105115000,17,10,00ce00c4
1105125000,17,11,fdaf00b5
1105135000,17,12,ff5bfed1
1105145000,17,13,0181000c
1105155000,17,14,ff350173
1105165000,17,15,009bfea5
1107045000,17,16,00c50001
1107055000,17,17,ff720023
1107065000,17,18,feb5ffea
1107075000,17,19,024a00b6
1107085000,17,20,fddcfdd9
1107095000,17,21,02ca00af
1107105000,17,22,fc64025a
1107115000,17,23,0329fdd5
1107125000,17,24,fca1022f
1107135000,17,25,034efbf1
1107145000,17,26,00990436
1107155000,17,27,fddafe74
1107165000,17,28,ff62003f
1107175000,17,29,008a0135
1107185000,17,30,0022fec6
1107195000,17,31,ff370061
1109075000,18,0,ffe60003
1109085000,18,1,002dfff1
1109095000,18,2,00cd0039
1109105000,18,3,ffa2ffce
1109115000,18,4,fd55003e
1109125000,18,5,0451ff23
1109135000,18,6,febd0040
1109145000,18,7,fd4601b1
1109155000,18,8,023efea3
1109165000,18,9,ff23005b
1109175000,18,10,02edffdf
1109185000,18,11,fda4ffbe
1109195000,18,12,ff8f0028
1109205000,18,13,0047ffc1
1109215000,18,14,0119fff4
1109225000,18,15,fef4003b
1111105000,18,16,ffbbff2a
1111115000,18,17,002d00b0
1111125000,18,18,00c9fee7
1111135000,18,19,ffb00251
1111145000,18,20,ff06fd06
1111155000,18,21,0101011d
1111165000,18,22,ff86ffc7
1111175000,18,23,0274010c
1111185000,18,24,f9ff0130
1111195000,18,25,06edfc16
1111205000,18,26,fc050153
1111215000,18,27,01f4002b
1111225000,18,28,ffdcfef8
1111235000,18,29,ff810101
1111245000,18,30,00a8ffbf
1111255000,18,31,ffe4007c
1113135000,19,0,00420005
1113145000,19,1,fec50098
1113155000,19,2,02eefef1
1113165000,19,3,fe430108
1113175000,19,4,fde0ff13
1113185000,19,5,0241ffbe
1113195000,19,6,0163ff90
1113205000,19,7,fcd203a7
1113215000,19,8,0026fc63
1113225000,19,9,01dd0170
1113235000,19,10,0024ffdd
1113245000,19,11,002d0012
1113255000,19,12,fe88ff5d
1113265000,19,13,ffe50006
1113275000,19,14,014b00e2
1113285000,19,15,ff66ff5b
1115165000,19,16,005effad
1115175000,19,17,ffc80081
1115185000,19,18,fe430065
1115195000,19,19,026dfd90
1115205000,19,20,ff30011b
1115215000,19,21,00d902bd
1115225000,19,22,fe3cfd72
1115235000,19,23,027a02b0
1115245000,19,24,fb20fad7
1115255000,19,25,03480525
1115265000,19,26,ff27fbb7
1115275000,19,27,01e1018a
1115285000,19,28,fe82009d
1115295000,19,29,009ffea9
1115305000,19,30,ffa2017e
1115315000,19,31,ffb8ff82
1117195000,20,0,fffe0094
1117205000,20,1,ffbdffda
1117215000,20,2,00bdff48
1117225000,20,3,003500aa
1117235000,20,4,fe45ff6a
1117245000,20,5,00dc0243
1117255000,20,6,007afc67
1117265000,20,7,ffaa0274
1117275000,20,8,fed800ea
1117285000,20,9,02f3fd90
1117295000,20,10,fe53020c
1117305000,20,11,00d5fec6
1117315000,20,12,fd9dfe8c
1117325000,20,13,02d001cf
1117335000,20,14,fe460059
1117345000,20,15,0068ff18
1119225000,20,16,004eff71
1119235000,20,17,001b003a
1119245000,20,18,fe44017f
1119255000,20,19,0283fd90
1119265000,20,20,fd780030
1119275000,20,21,02b500d6
1119285000,20,22,fd7fff51
1119295000,20,23,0113030f
1119305000,20,24,fd68faa3
1119315000,20,25,03bd0310
1119325000,20,26,ff32fd01
1119335000,20,27,015301c0
1119345000,20,28,fc82016c
1119355000,20,29,02e3fdb4
1119365000,20,30,fec3016f
1119375000,20,31,ffdfffbd
1121255000,21,0,ffb40015
1121265000,21,1,ffc1006e
1121275000,21,2,00d4fedd
1121285000,21,3,ff1e01ec
1121295000,21,4,ff9cfdaa
1121305000,21,5,00a80392
1121315000,21,6,013bfb1a
1121325000,21,7,fc35036c
1121335000,21,8,03e40047
1121345000,21,9,ff1b0094
1121355000,21,10,fe92fe1f
1121365000,21,11,0368fee4
1121375000,21,12,fdc00186
1121385000,21,13,ff640054
1121395000,21,14,007bff0e
1121405000,21,15,004d002c
1123285000,21,16,ffed0022
1123295000,21,17,005efef7
1123305000,21,18,004f0227
1123315000,21,19,004bff24
1123325000,21,20,fe6a0006
1123335000,21,21,fedcfef9
1123345000,21,22,0325ff9f
1123355000,21,23,fe860265
1123365000,21,24,00d7fe50
1123375000,21,25,0050fed1
1123385000,21,26,fec90163
1123395000,21,27,004bfc56
1123405000,21,28,012204e4
1123415000,21,29,0042fd23
1123425000,21,30,ff230173
1123435000,21,31,0038ff35
1125315000,22,0,00240021
1125325000,22,1,ff74ffd7
1125335000,22,2,009dffe2
1125345000,22,3,00f6019f
1125355000,22,4,ff44fd14
1125365000,22,5,fd2c02e5
1125375000,22,6,0348fc5a
1125385000,22,7,ffaf0463
1125395000,22,8,000cff89
1125405000,22,9,ff5efcd7
1125415000,22,10,fff10160
1125425000,22,11,014a00e5
1125435000,22,12,fe9cfe2e
1125445000,22,13,00c20169
1125455000,22,14,ff22ff88
1125465000,22,15,0049000d
1127345000,22,16,0058ff8e
1127355000,22,17,ff92000c
1127365000,22,18,ff2f0013
1127375000,22,19,01f800a7
1127385000,22,20,fe59fc15
1127395000,22,21,01f10480
1127405000,22,22,fce7fd9a
1127415000,22,23,035b0321
1127425000,22,24,fd84fd2a
1127435000,22,25,01240066
1127445000,22,26,ff69ff2b
1127455000,22,27,0054ff17
1127465000,22,28,ff3f015b
1127475000,22,29,018dff26
1127485000,22,30,ffad0088
1127495000,22,31,ff850031
1129375000,23,0,ffceffb0
1129385000,23,1,ffab00d1
1129395000,23,2,005e0005
1129405000,23,3,0023ffb7
1129415000,23,4,0025fe43
1129425000,23,5,fe3d042f
1129435000,23,6,02f0fab5
1129445000,23,7,fe44046e
1129455000,23,8,0048005a
1129465000,23,9,ffd7fa85
1129475000,23,10,004803af
1129485000,23,11,014b013d
1129495000,23,12,fce1fd8b
1129505000,23,13,022d00a3
1129515000,23,14,ff4e0097
1129525000,23,15,0062ff9e
1131405000,23,16,00750062
1131415000,23,17,ff2d0058
1131425000,23,18,ffbcffb5
1131435000,23,19,00edff63
1131445000,23,20,ff79008d
1131455000,23,21,ffd4fe79
1131465000,23,22,008401fc
1131475000,23,23,02d8fed7
1131485000,23,24,fced0208
1131495000,23,25,0073ff32
1131505000,23,26,ff52fc25
1131515000,23,27,026b04ad
1131525000,23,28,fd1dfe75
1131535000,23,29,01cc0015
1131545000,23,30,fee6ffde
1131555000,23,31,00b0ff61
1133435000,24,0,fffd0025
1133445000,24,1,ff8700f7
1133455000,24,2,0118fe86
1133465000,24,3,ffc60049
1133475000,24,4,ffe2ffde
1133485000,24,5,fdc00404
1133495000,24,6,02c2f902
1133505000,24,7,ff8c04da
1133515000,24,8,ff71001f
1133525000,24,9,0053fe9b
1133535000,24,10,018c0074
1133545000,24,11,fef8ff8f
1133555000,24,12,fe40fdc6
1133565000,24,13,025e030e
1133575000,24,14,fe9aff6c
1133585000,24,15,002eff5a
1135465000,24,16,0046fff0
1135475000,24,17,0084004a
1135485000,24,18,fde000de
1135495000,24,19,01fefe2b
1135505000,24,20,0018ff7f
1135515000,24,21,fcccff81
1135525000,24,22,0446028f
1135535000,24,23,ff7cff0c
1135545000,24,24,fc180060
1135555000,24,25,0562fc18
1135565000,24,26,fc980236
1135575000,24,27,041c0149
1135585000,24,28,fa0eff71
1135595000,24,29,035eff25
1135605000,24,30,ff86005d
1135615000,24,31,ffd2ff88
1137495000,25,0,ffa80057
1137505000,25,1,0053ffab
1137515000,25,2,00c5013c
1137525000,25,3,fde2ff7f
1137535000,25,4,01affdc4
1137545000,25,5,fe260398
1137555000,25,6,0321fd50
1137565000,25,7,fcff0207
1137575000,25,8,011efff3
1137585000,25,9,00a1fe27
1137595000,25,10,ff990224
1137605000,25,11,0160fde9
1137615000,25,12,fd770072
1137625000,25,13,01ca0106
1137635000,25,14,ff05ff60
1137645000,25,15,006bff91
1139525000,25,16,002bff62
1139535000,25,17,ff60015d
1139545000,25,18,ff85fe6a
1139555000,25,19,0182ff88
1139565000,25,20,ffd6ffd6
1139575000,25,21,0045ffad
1139585000,25,22,ff8e03c7
1139595000,25,23,0176fd4a
1139605000,25,24,fccb002a
1139615000,25,25,0316006f
1139625000,25,26,fd81fe9e
1139635000,25,27,046e014e
1139645000,25,28,fb3cfe8e
1139655000,25,29,02c101c7
1139665000,25,30,ff0cfec1
1139675000,25,31,00860080
1141555000,26,0,ff9d0003
1141565000,26,1,ffb20051
1141575000,26,2,016aff7c
1141585000,26,3,fd290196
1141595000,26,4,0285fd5a
1141605000,26,5,fe640101
1141615000,26,6,00c60267
1141625000,26,7,00e5fec5
1141635000,26,8,fe83fe45
1141645000,26,9,01a6030b
1141655000,26,10,ff62fd18
1141665000,26,11,00dbff54
1141675000,26,12,ff2302f6
1141685000,26,13,fe90fdb3
1141695000,26,14,014e00bd
1141705000,26,15,0023fff1
1143585000,26,16,005effb6
1143595000,26,17,012e0039
1143605000,26,18,fc780011
1143615000,26,19,030200b8
1143625000,26,20,ffc3fdb8
1143635000,26,21,ffcc012d
1143645000,26,22,0058ff4a
1143655000,26,23,ffa60337
1143665000,26,24,fdb0fd06
1143675000,26,25,03feff9b
1143685000,26,26,feda0067
1143695000,26,27,0210fef4
1143705000,26,28,fce30234
1143715000,26,29,017cfeb3
1143725000,26,30,001200b6
1143735000,26,31,ff24ffa9
1145615000,27,0,ff9f0022
1145625000,27,1,0063006c
1145635000,27,2,00c60044
1145645000,27,3,fcf7ff21
1145655000,27,4,013aff70
1145665000,27,5,024402f4
1145675000,27,6,fdf1fd3f
1145685000,27,7,00ce01d4
1145695000,27,8,ff85ffb2
1145705000,27,9,002dfe60
1145715000,27,10,00960190
1145725000,27,11,006dff2f
1145735000,27,12,ff1200b8
1145745000,27,13,ffc4fee0
1145755000,27,14,004300c9
1145765000,27,15,0036ff64
1147645000,27,16,0040ffb1
1147655000,27,17,0114ff59
1147665000,27,18,fd000206
1147675000,27,19,0365fd54
1147685000,27,20,feba01b9
1147695000,27,21,fe99ff66
1147705000,27,22,03160142
1147715000,27,23,fc70fec2
1147725000,27,24,0022ff37
1147735000,27,25,01eefdd3
1147745000,27,26,004a0232
1147755000,27,27,0101ffd8
1147765000,27,28,fdc0ffbf
1147775000,27,29,0251001e
1147785000,27,30,febcffce
1147795000,27,31,ffd6005a
1149675000,28,0,ff03002e
1149685000,28,1,016dffd6
1149695000,28,2,fffc008d
1149705000,28,3,fd54008f
1149715000,28,4,02b2fe1c
1149725000,28,5,ff2c0194
1149735000,28,6,022fffe9
1149745000,28,7,fcbbfdb7
1149755000,28,8,00af0446
1149765000,28,9,0081fbd2
1149775000,28,10,020e02ab
1149785000,28,11,fceefd61
1149795000,28,12,017801cc
1149805000,28,13,fea60020
1149815000,28,14,00ebffcb
