idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
169,-312,-158,-154,-367,182,-549
170,84,245,-161,20,630,-610
171,435,-54,489,669,402,267
172,569,-338,907,411,-232,643
173,868,357,511,15,-73,88
174,816,722,94,259,399,-140
175,465,687,-222,-215,-623,408
176,604,867,-263,-1106,-1529,423
177,623,576,47,-440,-141,-299
178,317,389,-72,675,955,-280
179,389,548,-159,552,114,438
180,215,-116,331,211,-241,452
181,-190,-429,239,370,432,-62
182,-32,289,-321,596,812,-216
183,121,-55,176,649,657,-8
184,609,-691,1300,385,-114,499
185,1737,338,1399,157,-642,799
186,1678,1131,547,172,-216,388
187,619,414,205,-101,-248,147
188,406,-265,671,-661,-1044,383
189,472,-501,973,-930,-1209,279
190,181,-700,881,-539,-518,-21
191,213,-522,735,187,417,-230
192,282,-112,394,192,529,-337
193,-14,-128,114,-359,-507,148
194,-138,-472,334,-250,-811,561
195,37,-183,220,38,-19,57
196,285,911,-626,-112,92,-204
197,845,1504,-659,287,126,161
198,1312,939,373,926,985,-59
199,633,5,628,560,1055,-495
200,-568,-663,95,25,248,-223
201,-697,-808,111,182,18,164
202,52,-163,215,-41,-323,282
203,569,761,-192,-850,-1202,352
204,450,999,-549,-688,-901,213
205,-85,589,-674,650,422,228
206,-291,198,-489,1336,662,674
207,-18,251,-269,760,74,686
208,220,880,-660,235,-22,257
209,518,1183,-665,243,39,204
210,422,353,69,322,111,211
211,-646,-218,-428,461,166,295
212,-1230,292,-1522,401,-460,861
213,-431,231,-662,-143,-1021,878
214,379,-422,801,-449,-578,129
215,547,44,503,-10,90,-100
216,458,737,-279,292,286,6
217,129,223,-94,-78,26,-104
218,-192,-153,-39,-92,-323,231
219,-77,599,-676,454,-240,694
220,438,1235,-797,452,107,345
221,763,1056,-293,235,424,-189
222,494,786,-292,407,527,-120
223,305,832,-527,193,140,53
224,534,693,-159,-177,-303,126
225,360,20,340,-15,-338,323
226,-37,-398,361,15,5,10
227,240,103,137,30,607,-577
228,603,528,75,846,805,41
229,310,194,116,1451,422,1029
230,-247,-64,-183,662,78,584
231,-906,-232,-674,-394,-242,-152
232,-1386,-668,-718,-399,-276,-123
233,-941,-502,-439,-46,350,-396
234,-312,2,-314,-210,566,-776
235,-604,-318,-286,-428,74,-502
236,-743,-650,-93,-221,58,-279
237,100,-208,308,19,443,-424
238,585,216,369,-53,452,-505
239,291,447,-156,-160,262,-422
240,140,505,-365,-210,379,-589
241,33,-4,37,-423,844,-1267
242,-67,-408,341,-762,678,-1440
243,26,-160,186,-1134,-278,-856
244,-488,-84,-404,-1004,-97,-907
245,-1181,-632,-549,-56,987,-1043
246,-980,-1059,79,461,651,-190
247,-735,-737,2,77,-300,377
248,-560,-197,-363,-180,-439,259
249,417,-106,523,-381,-611,230
250,1086,-236,1322,-560,-494,-66
251,776,-367,1143,-152,243,-395
252,656,-208,864,146,175,-29
253,540,543,-3,168,-158,326
254,-404,824,-1228,641,559,82
255,-1060,-192,-868,743,815,-72
256,-554,-1327,773,-122,-77,-45
257,-13,-1210,1197,-402,-124,-278
258,170,-39,209,522,533,-11
259,534,698,-164,943,96,847
260,538,426,112,371,-555,926
261,339,236,103,247,-150,397
262,487,396,91,504,473,31
263,198,600,-402,214,526,-312
264,30,1158,-1128,28,70,-42
265,657,1193,-536,293,-170,463
266,476,96,380,79,93,-14
267,-222,-325,103,-668,-397,-271
268,-62,407,-469,-977,-1317,340
269,-365,351,-716,-665,-809,144
270,-1132,-314,-818,-355,110,-465
271,-704,-111,-593,-247,-73,-174
272,-223,131,-354,-208,-209,1
273,-364,119,-483,-114,-14,-100
274,478,834,-356,73,-426,499
275,1450,1007,443,-61,-798,737
276,1143,131,1012,-353,-657,304
277,957,255,702,-291,-761,470
278,1190,1082,108,-432,-810,378
279,894,934,-40,-615,-16,-599
280,650,406,244,61,763,-702
281,485,334,151,745,366,379
282,-141,244,-385,394,-517,911
283,-548,-249,-299,-518,-613,95
284,-138,-458,320,-1015,-236,-779
285,603,-153,756,-559,-38,-521
286,462,-418,880,30,289,-259
287,-428,-694,266,-225,298,-523
288,-373,156,-529,-622,-326,-296
289,96,671,-575,-220,44,-264
290,-383,284,-667,592,1317,-725
291,-544,293,-837,773,1148,-375
292,69,301,-232,285,62,223
293,-21,-334,313,17,-203,220
294,-580,-775,195,-166,-334,168
295,-424,-257,-167,-369,-384,15
296,200,823,-623,224,39,185
297,522,1041,-519,639,-303,942
298,332,177,155,-227,-740,513
299,-12,-234,222,-786,160,-946
300,-40,86,-126,-392,596,-988
301,-23,90,-113,-246,-164,-82
302,-211,-151,-60,-85,-36,-49
303,-31,148,-179,467,760,-293
304,191,543,-352,509,651,-142
305,-236,54,-290,215,335,-120
306,-354,-484,130,443,485,-42
307,268,24,244,537,381,156
308,668,438,230,-156,190,-346
309,677,85,592,-557,356,-913
310,453,125,328,-230,125,-355
311,79,517,-438,-320,-475,155
312,-34,302,-336,-570,-355,-215
313,-249,-50,-199,-60,-76,16
314,-689,108,-797,169,-689,858
315,-281,148,-429,-323,-1086,763
316,682,-361,1043,-434,-367,-67
317,579,-568,1147,-157,335,-492
318,-4,7,-11,147,221,-74
319,528,327,201,159,-456,615
320,1110,44,1066,-465,-961,496
321,543,320,223,-505,-572,67
322,-9,860,-869,-29,-222,193
323,17,504,-487,-771,-685,-86
324,314,262,52,-1360,-650,-710
325,822,709,113,-520,5,-525
326,567,402,165,-128,203,-331
327,-324,-298,-26,-326,237,-563
328,-236,5,-241,-22,102,-124
329,379,385,-6,193,-284,477
330,241,-153,394,-47,-11,-36
331,-199,-657,458,-542,458,-1000
332,-326,-588,262,-842,159,-1001
333,-289,-834,545,-573,-201,-372
334,-185,-1271,1086,-430,37,-467
335,-57,-475,418,-240,685,-925
336,-159,842,-1001,531,1176,-645
337,-290,793,-1083,377,634,-257
338,-31,359,-390,-680,-287,-393
339,46,621,-575,-402,-61,-341
340,-304,84,-388,337,437,-100
341,-398,-999,601,-231,141,-372
342,-418,-825,407,-424,160,-584
343,-390,-355,-35,246,301,-55
344,38,-752,790,43,-298,341
345,44,-830,874,-77,-352,275
346,-194,-171,-23,810,269,541
347,392,281,111,1006,305,701
348,748,246,502,463,135,328
349,219,109,110,239,51,188
350,133,127,6,17,-6,23
351,377,115,262,-97,226,-323
352,143,-25,168,-151,-174,23
353,33,-28,61,-646,-1059,413
354,71,-27,98,-709,-984,275
355,58,-154,212,-127,-419,292
356,457,-8,465,180,201,-21
357,395,132,263,320,981,-661
358,-423,-332,-91,175,680,-505
359,-343,-689,346,-369,-346,-23
360,309,-535,844,-351,-361,10
361,76,-818,894,-42,350,-392
362,-324,-1036,712,-140,938,-1078
363,-204,-103,-101,25,1002,-977
364,116,786,-670,356,178,178
365,416,856,-440,269,-554,823
366,-5,957,-962,180,-275,455
367,-959,850,-1809,92,53,39
368,-1059,210,-1269,-233,-279,46
369,-394,-98,-296,-200,-375,175
370,129,171,-42,371,238,133
371,442,264,178,581,597,-16
372,391,-173,564,70,167,-97
373,-183,-485,302,-152,-304,152
374,-946,-233,-713,152,-238,390
375,-1162,56,-1218,17,37,-20
376,-183,242,-425,-309,-188,-121
377,715,394,321,-407,-755,348
378,93,91,2,-847,-808,-39
379,-438,-350,-88,-1092,-795,-297
380,-69,-501,432,-726,-1063,337
381,-644,-649,5,-642,-503,-139
382,-1308,-468,-840,-659,321,-980
383,-186,47,-233,-301,171,-472
384,515,-173,688,-93,145,-238
385,-544,-643,99,65,623,-558
386,-797,24,-821,451,465,-14
387,186,797,-611,559,20,539
388,403,187,216,183,56,127
389,67,-689,756,-192,289,-481
390,40,-578,618,-186,427,-613
391,119,-122,241,23,477,-454
392,446,152,294,146,431,-285
393,697,390,307,-5,59,-64
394,514,393,121,-352,-355,3
395,731,210,521,-73,31,-104
396,905,35,870,784,607,177
397,44,-403,447,696,291,405
398,-336,-779,443,-282,-115,-167
399,501,-563,1064,-698,-165,-533
400,816,-303,1119,-641,-497,-144
401,563,-133,696,-496,-342,-154
402,718,289,429,130,695,-565
403,657,105,552,475,1087,-612
404,304,-696,1000,-201,430,-631
405,302,-653,955,-620,-123,-497
406,443,26,417,54,27,27
407,658,355,303,589,433,156
408,652,457,195,102,281,-179
409,-145,212,-357,-538,71,-609
410,-772,-154,-618,-360,619,-979
411,-370,229,-599,243,598,-355
412,141,611,-470,191,-456,647
413,186,-144,330,-583,-640,57
414,195,-811,1006,-918,-50,-868
415,369,-272,641,-439,-118,-321
416,258,-61,319,-165,-100,-65
417,-401,-502,101,-210,370,-580
418,-530,289,-819,109,61,48
419,257,1243,-986,301,-464,765
420,447,630,-183,274,104,170
421,-68,281,-349,695,581,114
422,-256,427,-683,738,-18,756
423,-334,-327,-7,61,-404,465
424,-69,-357,288,-60,-218,158
425,751,579,172,27,-280,307
426,900,578,322,-479,-382,-97
427,268,308,-40,-605,-257,-348
428,95,99,-4,-507,-163,-344
429,640,-609,1249,-1026,-43,-983
430,1147,-305,1452,-816,124,-940
431,1006,656,350,512,185,327
432,499,361,138,1020,278,742
433,160,146,14,555,499,56
434,47,923,-876,375,524,-149
435,190,977,-787,360,200,160
436,241,307,-66,264,-179,443
437,-261,32,-293,216,-249,465
438,-551,141,-692,175,163,12
439,77,588,-511,241,266,-25
440,695,937,-242,-94,-459,365
441,271,397,-126,-790,-455,-335
442,-761,-565,-196,-643,437,-1080
443,-1178,-743,-435,-122,360,-482
444,-717,-79,-638,-106,102,-208
445,-358,41,-399,190,639,-449
446,-278,-522,244,695,440,255
447,233,-232,465,723,-208,931
448,611,350,261,228,-82,310
449,141,-177,318,-611,199,-810
450,-333,-746,413,-540,482,-1022
451,-329,-698,369,404,668,-264
452,-309,-561,252,414,208,206
453,-196,61,-257,121,-69,190
454,204,929,-725,436,-21,457
455,441,1104,-663,492,-422,914
456,-2,530,-532,713,-414,1127
457,-720,-174,-546,842,122,720
458,-574,-76,-498,-164,-100,-64
459,252,407,-155,-612,-382,-230
460,272,-10,282,123,173,-50
461,-535,-488,-47,162,515,-353
462,-868,-182,-686,6,680,-674
463,-692,-164,-528,780,1394,-614
464,-703,-403,-300,1062,1729,-667
465,-463,79,-542,439,1261,-822
466,252,695,-443,193,475,-282
467,474,501,-27,-29,-491,462
468,157,195,-38,-485,-711,226
469,55,551,-496,-208,-323,115
470,-4,419,-423,-281,-782,501
471,-156,-430,274,-1238,-923,-315
472,-157,-422,265,-861,238,-1099
473,-181,-428,247,36,814,-778
474,-175,-1360,1185,-713,486,-1199
475,-95,-860,765,-883,52,-935
476,-321,701,-1022,605,-629,1234
477,-566,474,-1040,1070,-708,1778
478,-383,-195,-188,451,37,414
479,-158,406,-564,590,602,-12
480,-95,585,-680,824,880,-56
481,75,23,52,290,761,-471
482,296,-6,302,28,391,-363
483,297,344,-47,362,369,-7
484,176,566,-390,340,362,-22
485,317,432,-115,76,291,-215
486,358,-102,460,113,230,-117
487,-129,-468,339,86,-66,152
488,-195,-500,305,16,38,-22
489,79,-640,719,-20,378,-398
490,-543,-957,414,-485,34,-519
491,-634,-1006,372,-816,-556,-260
492,825,-405,1230,-682,-1022,340
493,1436,322,1114,-983,-1200,217
494,858,444,414,-1165,-634,-531
495,846,154,692,-495,-110,-385
496,603,-228,831,-250,108,-358
497,-444,-451,7,-283,799,-1082
498,-855,-344,-511,516,989,-473
499,-415,-415,0,677,-35,712
500,223,-336,559,-251,-825,574
501,760,468,292,-203,-628,425
502,551,554,-3,657,300,357
503,-79,-423,344,869,1225,-356
504,-92,-649,557,536,599,-63
505,-53,-387,334,-182,-717,535
506,-361,-720,359,-870,-454,-416
507,-93,-677,584,-818,104,-922
508,332,150,182,-452,-359,-93
509,135,623,-488,-58,-280,222
510,33,290,-257,172,18,154
511,265,-22,287,-219,-367,148
512,390,215,175,-70,86,-156
513,341,255,86,951,919,32
514,26,-86,112,865,368,497
515,-257,-27,-230,-52,-63,11
516,-152,289,-441,-133,645,-778
517,95,407,-312,-74,670,-744
518,222,11,211,-328,75,-403
519,-49,-873,824,-226,293,-519
520,-346,-790,444,-131,439,-570
521,174,193,-19,-298,-108,-190
522,748,204,544,-358,-225,-133
523,454,-1,455,-227,-12,-215
524,-40,376,-416,-14,-176,162
525,-331,-9,-322,15,-227,242
526,-340,-360,20,107,117,-10
527,3,169,-166,393,372,21
528,-1,144,-145,55,81,-26
529,-174,56,-230,-514,-702,188
530,222,587,-365,-527,-1153,626
531,657,280,377,-782,-834,52
532,830,-382,1212,-936,-285,-651
533,696,-141,837,-237,59,-296
534,-94,46,-140,46,180,-134
535,-603,-198,-405,-112,166,-278
536,-200,-184,-16,340,21,319
537,68,-125,193,462,-197,659
538,-109,-414,305,-247,-188,-59
539,-112,-663,551,-767,-192,-575
540,183,-145,328,-601,-376,-225
541,479,860,-381,281,38,243
542,431,1021,-590,857,650,207
543,174,-31,205,-160,283,-443
544,-43,-1013,970,-1256,-257,-999
545,-279,-827,548,-740,-58,-682
546,-469,-348,-121,-167,199,-366
547,-707,-661,-46,-480,123,-603
548,-910,-625,-285,-315,-219,-96
549,-663,315,-978,388,-603,991
550,-281,477,-758,561,-408,969
551,-80,-324,244,140,-36,176
552,152,-596,748,-380,-408,28
553,280,-108,388,-357,-737,380
554,503,480,23,264,-46,310
555,984,685,299,580,743,-163
556,728,473,255,421,732,-311
557,-193,259,-452,420,441,-21
558,-247,10,-257,416,324,92
559,101,-562,663,44,356,-312
560,-410,-966,556,-225,383,-608
561,-497,-538,41,-26,-16,-10
562,504,368,136,142,-700,842
563,868,785,83,-136,-983,847
564,342,479,-137,-414,-866,452
565,-94,118,-212,-225,-653,428
566,-242,253,-495,126,-385,511
567,258,626,-368,187,-271,458
568,845,542,303,-54,-367,313
569,387,-7,394,-308,-315,7
570,-114,-193,79,-246,-139,-107
571,421,216,205,-10,-465,455
572,942,455,487,-19,-1149,1130
573,707,374,333,16,-1055,1071
574,488,476,12,296,-241,537
575,625,241,384,87,95,-8
576,333,-535,868,-495,-125,-370
577,-353,-559,206,-481,-263,-218
578,-392,55,-447,-203,-163,-40
579,-176,-157,-19,-210,149,-359
580,-579,-987,408,-155,433,-588
581,-510,-1307,797,-220,407,-627
582,489,-683,1172,-455,95,-550
583,638,362,276,-283,-427,144
584,-158,762,-920,-29,-735,706
585,-247,569,-816,-22,-370,348
586,-43,505,-548,157,28,129
587,-258,416,-674,334,-174,508
588,18,128,-110,252,-305,557
589,549,19,530,73,-65,138
590,424,301,123,-132,-176,44
591,83,532,-449,69,-440,509
592,-204,122,-326,459,-123,582
593,-663,-353,-310,-62,280,-342
594,-999,-203,-796,-680,446,-1126
595,-975,-185,-790,-6,943,-949
596,-659,-595,-64,446,1050,-604
597,-220,-511,291,-514,17,-531
598,-154,59,-213,-1064,-769,-295
599,-576,496,-1072,-580,-620,40
600,-386,734,-1120,-445,-399,-46
601,875,374,501,-737,-316,-421
602,1471,-331,1802,-907,-509,-398
603,572,75,497,-797,-873,76
604,-125,1172,-1297,-271,-773,502
605,110,1158,-1048,65,-583,648
606,363,433,-70,-37,-501,464
607,527,272,255,-17,-159,142
608,728,430,298,-80,-212,132
609,332,173,159,-411,-687,276
610,-534,-464,-70,-505,-583,78
611,-703,-631,-72,-235,-112,-123
612,-92,-210,118,-11,-140,129
613,93,-344,437,-347,-508,161
614,-245,-847,602,-880,-509,-371
615,-205,-350,145,-624,-137,-487
616,29,560,-531,222,206,16
617,-19,478,-497,665,414,251
618,-52,-49,-3,385,222,163
619,32,-16,48,-85,-326,241
620,-27,11,-38,-282,-548,266
621,-363,-706,343,-590,-342,-248
622,-562,-1078,516,-734,25,-759
623,-125,66,-191,145,220,-75
624,95,1104,-1009,921,-240,1161
625,-302,357,-659,513,-799,1312
626,37,-621,658,113,-817,930
627,599,-548,1147,-26,-892,866
628,93,-379,472,-596,-910,314
629,205,-253,458,-663,-151,-512
630,1321,301,1020,-114,442,-556
631,1051,675,376,-233,-46,-187
632,-153,403,-556,-409,-510,101
633,-422,-246,-176,75,-391,466
634,-503,-849,346,-21,-622,601
635,-778,-947,169,-653,-920,267
636,-254,-410,156,-607,-496,-111
637,532,163,369,-265,49,-314
638,496,19,477,27,240,-213
639,106,-442,548,286,-70,356
640,155,-271,426,-254,-594,340
641,451,89,362,-892,-29,-863
642,448,-126,574,-588,722,-1310
643,10,-168,178,-334,13,-347
644,-406,427,-833,-129,-72,-57
645,-340,487,-827,656,1264,-608
646,-405,-297,-108,775,1329,-554
647,-945,-484,-461,97,282,-185
648,-720,97,-817,-147,106,-253
649,272,265,7,188,637,-449
650,443,83,360,958,1203,-245
651,-80,-67,-13,1316,1182,134
652,-566,-329,-237,342,242,100
653,-875,-262,-613,-733,-720,-13
654,-89,92,-181,-798,-861,63
655,1117,236,881,-211,-189,-22
656,787,568,219,567,433,134
657,-20,910,-930,727,151,576
658,224,583,-359,233,-399,632
659,503,228,275,-73,-519,446
660,295,338,-43,-366,-567,201
661,-30,519,-549,-391,-409,18
662,-321,682,-1003,438,352,86
663,-182,375,-557,770,914,-144
664,-165,-525,360,-121,307,-428
665,-755,-832,77,-761,-625,-136
666,-788,-542,-246,-599,-707,108
667,-124,-511,387,-494,-608,114
668,-49,-168,119,-459,-627,168
669,-620,289,-909,-21,-97,76
670,-835,-15,-820,133,284,-151
671,-414,-151,-263,-359,305,-664
672,-332,145,-477,-258,721,-979
673,-785,35,-820,501,644,-143
674,-373,98,-471,609,34,575
675,586,329,257,306,425,-119
676,329,-193,522,243,1014,-771
677,-798,-834,36,-9,641,-650
678,-1403,-840,-563,-520,233,-753
679,-898,-564,-334,-997,-283,-714
680,230,-355,585,-1255,-1251,-4
681,393,-186,579,-819,-1138,319
682,-218,122,-340,103,220,-117
683,206,161,45,412,917,-505
684,841,-354,1195,37,592,-555
685,260,-711,971,-153,169,-322
686,-422,-838,416,-220,-136,-84
687,-418,-896,478,-313,-101,-212
688,-145,-266,121,-77,268,-345
689,159,343,-184,-108,205,-313
690,119,-43,162,-534,-179,-355
691,4,-323,327,-458,-442,-16
692,442,52,390,-428,-802,374
693,695,327,368,-635,-622,-13
694,163,600,-437,-100,161,-261
695,-220,457,-677,-43,190,-233
696,20,-683,703,-1152,-141,-1011
697,369,-1158,1527,-1394,-25,-1369
698,667,-393,1060,-955,-193,-762
699,747,-247,994,-1198,-322,-876
700,441,-408,849,-814,31,-845
701,307,264,43,494,124,370
702,458,586,-128,921,129,792
703,368,298,70,514,125,389
704,169,288,-119,456,-150,606
705,91,-34,125,483,148,335
706,112,-781,893,-76,553,-629
707,335,-865,1200,-675,-81,-594
708,365,-162,527,-343,-277,-66
709,56,624,-568,662,804,-142
710,26,665,-639,1058,1345,-287
711,-47,-343,296,318,883,-565
712,-705,-1159,454,-532,386,-918
713,-1179,-767,-412,-382,103,-485
714,-1007,102,-1109,308,167,141
715,-573,527,-1100,396,90,306
716,-354,113,-467,-144,-329,185
717,-669,-471,-198,-136,287,-423
718,-578,41,-619,936,1371,-435
719,271,594,-323,1387,736,651
720,147,76,71,133,-615,748
721,-610,228,-838,-733,-837,104
722,-8,1124,-1132,-218,-736,518
723,928,914,14,-235,-733,498
724,682,324,358,-728,-112,-616
725,230,400,-170,-286,404,-690
726,395,371,24,158,84,74
727,650,152,498,-96,-270,174
728,572,309,263,-47,-442,395
729,488,594,-106,274,-699,973
730,809,688,121,196,-349,545
731,1166,780,386,85,433,-348
732,753,518,235,111,524,-413
733,-297,-279,-18,-182,44,-226
734,-699,-416,-283,-501,-433,-68
735,-222,-85,-137,-349,-708,359
736,15,-540,555,-90,-488,398
737,120,-655,775,-40,-39,-1
738,444,-120,564,-147,30,-177
739,261,-394,655,-506,-421,-85
740,22,-574,596,-787,-930,143
741,140,-47,187,-473,-634,161
742,-259,22,-281,55,303,-248
743,-435,151,-586,165,697,-532
744,295,561,-266,51,437,-386
745,409,364,45,31,248,-217
746,26,309,-283,-67,259,-326
747,308,445,-137,-91,247,-338
748,-84,-389,305,241,184,57
749,-1312,-1020,-292,319,68,251
750,-1042,-214,-828,-221,-244,23
751,153,522,-369,-463,-341,-122
752,91,349,-258,-10,246,-256
753,-38,119,-157,218,531,-313
754,826,-159,985,-129,-35,-94
755,770,-232,1002,-395,-310,-85
756,-303,575,-878,-317,-364,47
757,-304,902,-1206,-58,-937,879
758,300,-279,579,344,-935,1279
759,-81,-1216,1135,557,113,444
760,-612,-723,111,304,781,-477
761,-369,264,-633,228,621,-393
762,-123,547,-670,518,462,56
763,-104,-227,123,57,470,-413
764,176,-859,1035,-863,284,-1147
765,610,-390,1000,-674,-70,-604
766,689,-88,777,36,-96,132
767,102,-484,586,149,481,-332
768,-342,-329,-13,163,799,-636
769,151,161,-10,95,350,-255
770,524,168,356,-61,166,-227
771,298,242,56,318,255,63
772,374,476,-102,589,-16,605
773,389,492,-103,200,194,6
774,-94,430,-524,-215,456,-671
775,-206,9,-215,-529,-360,-169
776,343,-541,884,-781,-1004,223
777,1012,-140,1152,-691,-982,291
778,1258,693,565,-302,-1093,791
779,886,682,204,150,-855,1005
780,648,244,404,191,-653,844
781,878,10,868,-55,-904,849
782,544,-347,891,267,-220,487
783,-228,-761,533,586,726,-140
784,-144,-646,502,-40,233,-273
785,423,213,210,-490,-405,-85
786,712,1013,-301,0,-236,236
787,853,636,217,342,-222,564
788,532,-90,622,241,-17,258
789,181,298,-117,374,605,-231
790,703,977,-274,580,429,151
791,1338,969,369,463,-136,599
792,1276,625,651,190,16,174
793,686,-29,715,-118,114,-232
794,-148,-544,396,-267,-19,-248
795,-682,-313,-369,142,436,-294
796,-665,-28,-637,557,480,77
797,-276,4,-280,178,-429,607
798,234,23,211,-141,-588,447
799,408,-223,631,180,102,78
800,224,-403,627,-31,248,-279
801,-24,-210,186,-681,218,-899
802,-74,-42,-32,-512,490,-1002
803,64,-107,171,-89,632,-721
804,-561,-621,60,-274,761,-1035
805,-1707,-1077,-630,-515,625,-1140
806,-1597,-573,-1024,-390,-67,-323
807,-821,-72,-749,-101,-328,227
