sample,sin_out,cos_out,dds_ready
112,32412,-4011,1
113,32285,-4808,1
114,32137,-5602,1
115,32137,-5602,1
116,31971,-6393,1
117,31971,-6393,1
118,31785,-7179,1
119,31580,-7962,1
120,31580,-7962,1
121,31356,-8739,1
122,31113,-9512,1
123,31113,-9512,1
124,30852,-10278,1
125,30571,-11039,1
126,30571,-11039,1
127,30273,-11793,1
128,30273,-11793,1
129,29956,-12539,1
130,29621,-13279,1
131,29621,-13279,1
132,29268,-14010,1
133,28898,-14732,1
134,28898,-14732,1
135,28510,-15446,1
136,28105,-16151,1
137,28105,-16151,1
138,27683,-16846,1
139,27245,-17530,1
140,27245,-17530,1
141,26790,-18204,1
142,26790,-18204,1
143,26319,-18868,1
144,25832,-19519,1
145,25832,-19519,1
146,25329,-20159,1
147,24811,-20787,1
148,24811,-20787,1
149,24279,-21403,1
150,23731,-22005,1
151,23731,-22005,1
152,23170,-22594,1
153,23170,-22594,1
154,22594,-23170,1
155,22005,-23731,1
156,22005,-23731,1
157,21403,-24279,1
158,20787,-24811,1
159,20787,-24811,1
160,20159,-25329,1
161,19519,-25832,1
162,19519,-25832,1
163,18868,-26319,1
164,18204,-26790,1
165,18204,-26790,1
166,17530,-27245,1
167,17530,-27245,1
168,16846,-27683,1
169,16151,-28105,1
170,16151,-28105,1
171,15446,-28510,1
172,14732,-28898,1
173,14732,-28898,1
174,14010,-29268,1
175,13279,-29621,1
176,13279,-29621,1
177,12539,-29956,1
178,12539,-29956,1
179,11793,-30273,1
180,11039,-30571,1
181,11039,-30571,1
182,10278,-30852,1
183,9512,-31113,1
184,9512,-31113,1
185,8739,-31356,1
186,7962,-31580,1
187,7962,-31580,1
188,7179,-31785,1
189,6393,-31971,1
190,6393,-31971,1
191,5602,-32137,1
192,5602,-32137,1
193,4808,-32285,1
194,4011,-32412,1
195,4011,-32412,1
196,3212,-32521,1
197,2410,-32609,1
198,2410,-32609,1
199,1608,-32678,1
200,804,-32728,1
201,804,-32728,1
202,0,-32757,1
203,0,-32757,1
204,-32757,0,1
205,-32728,-804,1
206,-32728,-804,1
207,-32678,-1608,1
208,-32609,-2410,1
209,-32609,-2410,1
210,-32521,-3212,1
211,-32412,-4011,1
212,-32412,-4011,1
213,-32285,-4808,1
214,-32137,-5602,1
215,-32137,-5602,1
216,-31971,-6393,1
217,-31971,-6393,1
218,-31785,-7179,1
219,-31580,-7962,1
220,-31580,-7962,1
221,-31356,-8739,1
222,-31113,-9512,1
223,-31113,-9512,1
224,-30852,-10278,1
225,-30571,-11039,1
226,-30571,-11039,1
227,-30273,-11793,1
228,-30273,-11793,1
229,-29956,-12539,1
230,-29621,-13279,1
231,-29621,-13279,1
232,-29268,-14010,1
233,-28898,-14732,1
234,-28898,-14732,1
235,-28510,-15446,1
236,-28105,-16151,1
237,-28105,-16151,1
238,-27683,-16846,1
239,-27245,-17530,1
240,-27245,-17530,1
241,-26790,-18204,1
242,-26790,-18204,1
243,-26319,-18868,1
244,-25832,-19519,1
245,-25832,-19519,1
246,-25329,-20159,1
247,-24811,-20787,1
248,-24811,-20787,1
249,-24279,-21403,1
250,-23731,-22005,1
251,-23731,-22005,1
252,-23170,-22594,1
253,-23170,-22594,1
254,-22594,-23170,1
255,-22005,-23731,1
256,-22005,-23731,1
257,-21403,-24279,1
258,-20787,-24811,1
259,-20787,-24811,1
260,-20159,-25329,1
261,-19519,-25832,1
262,-19519,-25832,1
263,-18868,-26319,1
264,-18204,-26790,1
265,-18204,-26790,1
266,-17530,-27245,1
267,-17530,-27245,1
268,-16846,-27683,1
269,-16151,-28105,1
270,-16151,-28105,1
271,-15446,-28510,1
272,-14732,-28898,1
273,-14732,-28898,1
274,-14010,-29268,1
275,-13279,-29621,1
276,-13279,-29621,1
277,-12539,-29956,1
278,-12539,-29956,1
279,-11793,-30273,1
280,-11039,-30571,1
281,-11039,-30571,1
282,-10278,-30852,1
283,-9512,-31113,1
284,-9512,-31113,1
285,-8739,-31356,1
286,-7962,-31580,1
287,-7962,-31580,1
288,-7179,-31785,1
289,-6393,-31971,1
290,-6393,-31971,1
291,-5602,-32137,1
292,-5602,-32137,1
293,-4808,-32285,1
294,-4011,-32412,1
295,-4011,-32412,1
296,-3212,-32521,1
297,-2410,-32609,1
298,-2410,-32609,1
299,-1608,-32678,1
300,-804,-32728,1
301,-804,-32728,1
302,0,-32757,1
303,0,-32757,1
304,0,32757,1
305,-804,32728,1
306,-804,32728,1
307,-1608,32678,1
308,-2410,32609,1
309,-2410,32609,1
310,-3212,32521,1
311,-4011,32412,1
312,-4011,32412,1
313,-4808,32285,1
314,-5602,32137,1
315,-5602,32137,1
316,-6393,31971,1
317,-6393,31971,1
318,-7179,31785,1
319,-7962,31580,1
320,-7962,31580,1
321,-8739,31356,1
322,-9512,31113,1
323,-9512,31113,1
324,-10278,30852,1
325,-11039,30571,1
326,-11039,30571,1
327,-11793,30273,1
328,-11793,30273,1
329,-12539,29956,1
330,-13279,29621,1
331,-13279,29621,1
332,-14010,29268,1
333,-14732,28898,1
334,-14732,28898,1
335,-15446,28510,1
336,-16151,28105,1
337,-16151,28105,1
338,-16846,27683,1
339,-17530,27245,1
340,-17530,27245,1
341,-18204,26790,1
342,-18204,26790,1
343,-18868,26319,1
344,-19519,25832,1
345,-19519,25832,1
346,-20159,25329,1
347,-20787,24811,1
348,-20787,24811,1
349,-21403,24279,1
350,-22005,23731,1
351,-22005,23731,1
352,-22594,23170,1
353,-22594,23170,1
354,-23170,22594,1
355,-23731,22005,1
356,-23731,22005,1
357,-24279,21403,1
358,-24811,20787,1
359,-24811,20787,1
360,-25329,20159,1
361,-25832,19519,1
362,-25832,19519,1
363,-26319,18868,1
364,-26790,18204,1
365,-26790,18204,1
366,-27245,17530,1
367,-27245,17530,1
368,-27683,16846,1
369,-28105,16151,1
370,-28105,16151,1
371,-28510,15446,1
372,-28898,14732,1
373,-28898,14732,1
374,-29268,14010,1
375,-29621,13279,1
376,-29621,13279,1
377,-29956,12539,1
378,-29956,12539,1
379,-30273,11793,1
380,-30571,11039,1
381,-30571,11039,1
382,-30852,10278,1
383,-31113,9512,1
384,-31113,9512,1
385,-31356,8739,1
386,-31580,7962,1
387,-31580,7962,1
388,-31785,7179,1
389,-31971,6393,1
390,-31971,6393,1
391,-32137,5602,1
392,-32137,5602,1
393,-32285,4808,1
394,-32412,4011,1
395,-32412,4011,1
396,-32521,3212,1
397,-32609,2410,1
398,-32609,2410,1
399,-32678,1608,1
400,-32728,804,1
401,-32728,804,1
402,-32757,0,1
403,-32757,0,1
404,0,32757,1
405,804,32728,1
406,804,32728,1
407,1608,32678,1
408,2410,32609,1
409,2410,32609,1
410,3212,32521,1
411,4011,32412,1
412,4011,32412,1
413,4808,32285,1
414,5602,32137,1
415,5602,32137,1
416,6393,31971,1
417,6393,31971,1
418,7179,31785,1
419,7962,31580,1
420,7962,31580,1
421,8739,31356,1
422,9512,31113,1
423,9512,31113,1
424,10278,30852,1
425,11039,30571,1
426,11039,30571,1
427,11793,30273,1
428,11793,30273,1
429,12539,29956,1
430,13279,29621,1
431,13279,29621,1
432,14010,29268,1
433,14732,28898,1
434,14732,28898,1
435,15446,28510,1
436,16151,28105,1
437,16151,28105,1
438,16846,27683,1
439,17530,27245,1
440,17530,27245,1
441,18204,26790,1
442,18204,26790,1
443,18868,26319,1
444,19519,25832,1
445,19519,25832,1
446,20159,25329,1
447,20787,24811,1
448,20787,24811,1
449,21403,24279,1
450,22005,23731,1
451,22005,23731,1
452,22594,23170,1
453,22594,23170,1
454,23170,22594,1
455,23731,22005,1
456,23731,22005,1
457,24279,21403,1
458,24811,20787,1
459,24811,20787,1
460,25329,20159,1
461,25832,19519,1
462,25832,19519,1
463,26319,18868,1
464,26790,18204,1
465,26790,18204,1
466,27245,17530,1
467,27245,17530,1
468,27683,16846,1
469,28105,16151,1
470,28105,16151,1
471,28510,15446,1
472,28898,14732,1
473,28898,14732,1
474,29268,14010,1
475,29621,13279,1
476,29621,13279,1
477,29956,12539,1
478,29956,12539,1
479,30273,11793,1
480,30571,11039,1
481,30571,11039,1
482,30852,10278,1
483,31113,9512,1
484,31113,9512,1
485,31356,8739,1
486,31580,7962,1
487,31580,7962,1
488,31785,7179,1
489,31971,6393,1
490,31971,6393,1
491,32137,5602,1
492,32137,5602,1
493,32285,4808,1
494,32412,4011,1
495,32412,4011,1
496,32521,3212,1
497,32609,2410,1
498,32609,2410,1
499,32678,1608,1
