input_n,data_in,output_n,data_out
1158,-3064,288,-4739
1162,-2810,289,-4631
1166,-2545,290,-4504
1170,-2269,291,-4359
1174,-1985,292,-4197
1178,-1693,293,-4019
1182,-1394,294,-3825
1186,-1090,295,-3615
1190,-782,296,-3391
1194,-470,297,-3155
1198,-157,298,-2905
1202,157,299,-2644
1206,470,300,-2372
1210,782,301,-2091
1214,1090,302,-1803
1218,1394,303,-1507
1222,1693,304,-1204
1226,1985,305,-897
1230,2269,306,-587
1234,2545,307,-275
1238,2810,308,39
1242,3064,309,352
1246,3306,310,664
1250,3535,311,974
1254,3750,312,1279
1258,3950,313,1580
1262,4135,314,1875
1266,4303,315,2161
1270,4455,316,2440
1274,4588,317,2709
1278,4704,318,2967
1282,4801,319,3214
1286,4879,320,3448
1290,4938,321,3668
1294,4977,322,3874
1298,4997,323,4064
1302,4997,324,4238
1306,4977,325,4396
1310,4938,326,4536
1314,4879,327,4659
1318,4801,328,4763
1322,4704,329,4848
1326,4588,330,4914
1330,4455,331,4960
1334,4303,332,4988
1338,4135,333,4995
1342,3950,334,4983
1346,3750,335,4951
1350,3535,336,4899
1354,3306,337,4828
1358,3064,338,4738
1362,2810,339,4630
1366,2545,340,4503
1370,2269,341,4358
1374,1985,342,4196
1378,1693,343,4018
1382,1394,344,3824
1386,1090,345,3614
1390,782,346,3390
1394,470,347,3154
1398,157,348,2904
1402,-157,349,2643
1406,-470,350,2371
1410,-782,351,2091
1414,-1090,352,1802
1418,-1394,353,1506
1422,-1693,354,1203
1426,-1985,355,896
1430,-2269,356,586
1434,-2545,357,274
1438,-2810,358,-40
1442,-3064,359,-353
1446,-3306,360,-665
1450,-3535,361,-975
1454,-3750,362,-1280
1458,-3950,363,-1581
1462,-4135,364,-1876
1466,-4303,365,-2162
1470,-4455,366,-2441
1474,-4588,367,-2710
1478,-4704,368,-2968
1482,-4801,369,-3215
1486,-4879,370,-3449
1490,-4938,371,-3669
1494,-4977,372,-3875
1498,-4997,373,-4065
1502,-4997,374,-4239
1506,-4977,375,-4397
1510,-4938,376,-4537
1514,-4879,377,-4660
1518,-4801,378,-4764
1522,-4704,379,-4849
1526,-4588,380,-4915
1530,-4455,381,-4961
1534,-4303,382,-4989
1538,-4135,383,-4996
1542,-3950,384,-4984
1546,-3750,385,-4952
1550,-3535,386,-4900
1554,-3306,387,-4829
1558,-3064,388,-4739
1562,-2810,389,-4631
1566,-2545,390,-4504
1570,-2269,391,-4359
1574,-1985,392,-4197
1578,-1693,393,-4019
1582,-1394,394,-3825
1586,-1090,395,-3615
1590,-782,396,-3391
1594,-470,397,-3155
1598,-157,398,-2905
