sample,data_in,data_out
295,-3090,-17607
296,-2486,-17675
297,-1873,-17675
298,-1253,-17607
299,-627,-17467
300,0,-17258
301,627,-16982
302,1253,-16638
303,1873,-16230
304,2486,-15757
305,3090,-15222
306,3681,-14627
307,4257,-13974
308,4817,-13265
309,5358,-12504
310,5877,-11695
311,6374,-10839
312,6845,-9940
313,7289,-9002
314,7705,-8028
315,8090,-7023
316,8443,-5991
317,8763,-4933
318,9048,-3857
319,9297,-2766
320,9510,-1664
321,9685,-555
322,9822,554
323,9921,1663
324,9980,2765
325,9999,3856
326,9980,4932
327,9921,5990
328,9822,7022
329,9685,8027
330,9510,9001
331,9297,9939
332,9048,10838
333,8763,11694
334,8443,12503
335,8090,13264
336,7705,13973
337,7289,14626
338,6845,15221
339,6374,15756
340,5877,16229
341,5358,16637
342,4817,16981
343,4257,17257
344,3681,17466
345,3090,17606
346,2486,17674
347,1873,17674
348,1253,17606
349,627,17466
350,0,17257
351,-627,16981
352,-1253,16637
353,-1873,16229
354,-2486,15756
355,-3090,15221
356,-3681,14626
357,-4257,13973
358,-4817,13264
359,-5358,12503
360,-5877,11694
361,-6374,10838
362,-6845,9939
363,-7289,9001
364,-7705,8027
365,-8090,7022
366,-8443,5990
367,-8763,4932
368,-9048,3856
369,-9297,2765
370,-9510,1663
371,-9685,554
372,-9822,-555
373,-9921,-1664
374,-9980,-2766
375,-9999,-3857
376,-9980,-4933
377,-9921,-5991
378,-9822,-7023
379,-9685,-8028
380,-9510,-9002
381,-9297,-9940
382,-9048,-10839
383,-8763,-11695
384,-8443,-12504
385,-8090,-13265
386,-7705,-13974
387,-7289,-14627
388,-6845,-15222
389,-6374,-15757
390,-5877,-16230
391,-5358,-16638
392,-4817,-16982
393,-4257,-17258
394,-3681,-17467
395,-3090,-17607
396,-2486,-17675
397,-1873,-17675
398,-1253,-17607
399,-627,-17467
400,0,-17258
401,627,-16982
402,1253,-16638
403,1873,-16230
404,2486,-15757
405,3090,-15222
406,3681,-14627
407,4257,-13974
408,4817,-13265
409,5358,-12504
410,5877,-11695
411,6374,-10839
412,6845,-9940
413,7289,-9002
414,7705,-8028
415,8090,-7023
416,8443,-5991
417,8763,-4933
418,9048,-3857
419,9297,-2766
420,9510,-1664
421,9685,-555
422,9822,554
423,9921,1663
424,9980,2765
425,9999,3856
426,9980,4932
427,9921,5990
428,9822,7022
429,9685,8027
430,9510,9001
431,9297,9939
432,9048,10838
433,8763,11694
434,8443,12503
435,8090,13264
436,7705,13973
437,7289,14626
438,6845,15221
439,6374,15756
440,5877,16229
441,5358,16637
442,4817,16981
443,4257,17257
444,3681,17466
445,3090,17606
446,2486,17674
447,1873,17674
448,1253,17606
449,627,17466
450,0,17257
451,-627,16981
452,-1253,16637
453,-1873,16229
454,-2486,15756
455,-3090,15221
456,-3681,14626
457,-4257,13973
458,-4817,13264
459,-5358,12503
460,-5877,11694
461,-6374,10838
462,-6845,9939
463,-7289,9001
464,-7705,8027
465,-8090,7022
466,-8443,5990
467,-8763,4932
468,-9048,3856
469,-9297,2765
470,-9510,1663
471,-9685,554
472,-9822,-555
473,-9921,-1664
474,-9980,-2766
475,-9999,-3857
476,-9980,-4933
477,-9921,-5991
478,-9822,-7023
479,-9685,-8028
480,-9510,-9002
481,-9297,-9940
482,-9048,-10839
483,-8763,-11695
484,-8443,-12504
485,-8090,-13265
486,-7705,-13974
487,-7289,-14627
488,-6845,-15222
489,-6374,-15757
490,-5877,-16230
491,-5358,-16638
492,-4817,-16982
493,-4257,-17258
494,-3681,-17467
495,-3090,-17607
496,-2486,-17675
497,-1873,-17675
498,-1253,-17607
499,-627,-17467
